Proxima Centauri b
Proxima Centauri c
Proxima Centauri d
Ross 128 b
Wolf 1061 c
Gliese 876 d
Gliese 581 e
Gliese 581 c
Gliese 581 d
HD 219134 b
Luyten b
Wolf 1061 d
Gliese 832 c
61 Virginis b
HD 85512 b
Gliese 682 b
Lalande-21185 b
Lalande-21185 c
Lacaille-9352 b
Lacaille-9352 c
Ross-128 b
Gliese-725 b
Groombridge-34 b
Groombridge-34 c
Epsilon Indi Ab
Tau Ceti g
Tau Ceti e
Tau Ceti f
Tau Ceti h
GJ 1061 b
GJ 1061 c
GJ 1061 d
YZ Ceti b
YZ Ceti c
YZ Ceti d
KOI-4978 b
Kepler-879 c
Kepler-1489 c
Kepler-963 c
Kepler-158 d
Barnard b
GJ 238 b
TOI-4527.01
SPECULOOS-3 b
LHS 1678 d
Teegarden's Star d
LHS 475 b
Kepler-1982 b
Kepler-1990 c
Kepler-1992 b
Kepler-1994 b
Kepler-1998 b
Kepler-1869 c
Kepler-290 d
Kepler-865 c
TOI-700 e
Kepler-138 e
K2-411 b
K2-413 b
HD 23472 d
HD 23472 e
KMT-2020-BLG-0414L b
Kepler-1963 c
Kepler-1934 b
Kepler-1330 c
Kepler-1890 b
Kepler-1898 b
Kepler-1957 b
Kepler-1877 b
Kepler-1907 b
Kepler-1130 d
Kepler-1759 b
Kepler-1800 b
Kepler-1967 b
Kepler-1850 b
Kepler-352 d
Kepler-1864 b
Kepler-1963 b
GJ 367 b
LHS 1678 b
EPIC 220492298 b
EPIC 201757695.02
TOI-540 b
Kepler-1689 b
K2-315 b
TOI-700 b
L 98-59 b
EPIC 206317286 b
EPIC 201497682 b
EPIC 201833600 c
EPIC 206215704 b
YZ Ceti b
PSR B1257+12 b
K2-266 c
K2-257 b
K2-239 c
K2-157 b
K2-209 b
K2-210 b
K2-223 b
K2-138 f
K2-137 b
K2-116 b
Kepler-1047 c
Kepler-1053 b
Kepler-124 b
Kepler-125 c
Kepler-524 c
Kepler-1031 b
Kepler-342 e
Kepler-106 b
Kepler-303 b
Kepler-444 b
Kepler-444 c
Kepler-444 f
Kepler-444 e
TRAPPIST-1 d
Kepler-271 c
Kepler-271 d
Kepler-779 b
Kepler-780 b
Kepler-783 b
Kepler-1222 b
Kepler-1235 b
Kepler-431 b
Kepler-1169 b
Kepler-1173 b
Kepler-85 b
Kepler-1130 b
Kepler-1141 b
Kepler-1152 b
Kepler-431 c
Kepler-444 d
Kepler-408 b
Kepler-388 c
Kepler-390 c
Kepler-398 b
Kepler-399 b
Kepler-653 c
Kepler-387 c
Kepler-388 b
Kepler-390 b
Kepler-392 b
Kepler-378 b
Kepler-378 c
Kepler-381 b
Kepler-220 b
Kepler-220 d
Kepler-28 b
Kepler-314 b
Kepler-362 b
Kepler-607 b
Kepler-352 b
Kepler-353 b
Kepler-605 c
Kepler-1328 b
Kepler-1339 b
Kepler-398 d
Kepler-1285 b
Kepler-1293 b
Kepler-1296 b
Kepler-1297 b
Kepler-1308 b
Kepler-910 b
Kepler-1650 b
TRAPPIST-1 e
TRAPPIST-1 h
K2-89 b
Kepler-1067 b
Kepler-1076 b
Kepler-1087 b
Kepler-1027 b
Kepler-1049 b
Kepler-969 c
Kepler-1258 b
Kepler-1395 b
Kepler-1398 b
Kepler-1402 b
Kepler-1408 b
Kepler-1412 b
Kepler-1416 b
Kepler-1417 b
Kepler-1421 b
Kepler-1425 b
Kepler-1349 b
Kepler-1351 b
Kepler-1352 b
Kepler-1361 b
Kepler-1365 b
Kepler-1365 c
Kepler-1367 b
Kepler-1371 b
Kepler-1371 c
Kepler-1385 b
Kepler-1387 b
Kepler-1393 b
Kepler-1338 b
Kepler-1558 b
Kepler-1559 b
Kepler-1560 b
Kepler-1563 b
Kepler-1566 b
Kepler-1572 b
Kepler-1579 b
Kepler-1581 b
Kepler-1583 b
Kepler-1588 b
Kepler-1598 b
Kepler-1525 b
Kepler-1542 b
Kepler-1542 c
Kepler-1542 d
Kepler-1542 e
Kepler-1547 b
Kepler-1438 b
Kepler-1443 b
Kepler-1445 b
Kepler-1446 b
Kepler-1464 c
Kepler-1505 b
Kepler-1507 b
Kepler-1435 b
Kepler-1601 b
Kepler-1607 b
Kepler-1611 b
Kepler-1619 b
Kepler-1629 b
Kepler-1637 b
Kepler-37 b
Kepler-42 b
Kepler-42 c
Kepler-42 d
Kepler-11 b
Kepler-32 f
Kepler-33 c
Kepler-138 b
Kepler-141 b
Kepler-106 d
Kepler-119 c
KOI-55 b
KOI-55 c
Kepler-197 e
Kepler-345 b
Kepler-20 e
Kepler-62 c
